,date,open,high,low,close
1399,2011-01-07,3156.36,3209.9,3141.12,3166.62
1400,2011-01-10,3162.08,3182.78,3102.43,3108.19
1401,2011-01-11,3096.25,3131.29,3084.51,3124.92
1402,2011-01-12,3135.18,3153.43,3099.41,3142.34
1403,2011-01-13,3153.99,3157.04,3127.16,3141.28
1404,2011-01-14,3129.67,3129.67,3083.51,3091.86
1405,2011-01-17,3067.43,3078.88,2968.61,2974.35
1406,2011-01-18,2965.42,2984.47,2947.6,2977.65
1407,2011-01-19,2978.46,3045.6,2967.24,3044.85
1408,2011-01-20,3037.86,3037.86,2944.5,2944.71
1409,2011-01-21,2935.23,3030.26,2935.14,2983.46
1410,2011-01-24,2986.09,2999.2,2943.92,2954.23
1411,2011-01-25,2949.65,2960.59,2919.16,2938.65
1412,2011-01-26,2939.77,2982.32,2939.36,2978.43
1413,2011-01-27,2953.59,3037.16,2935.27,3026.47
1414,2011-01-28,3020.12,3047.27,3011.38,3036.74
1415,2011-01-31,3035.42,3076.55,3032.45,3076.51
1416,2011-02-01,3083.49,3087.23,3062.83,3077.28
1417,2011-02-09,3055.4,3087.55,3031.75,3040.95
1418,2011-02-10,3034.08,3105.32,3024.35,3104.16
1419,2011-02-11,3100.27,3133.5,3092.58,3120.96
1420,2011-02-14,3123.25,3227.43,3123.25,3219.14
1421,2011-02-15,3223.22,3259.64,3215.62,3217.67
1422,2011-02-16,3211.14,3248.85,3195.47,3248.53
1423,2011-02-17,3255.63,3265.26,3218.91,3245.91
1424,2011-02-18,3240.05,3242.37,3203.12,3211.88
1425,2011-02-21,3192.15,3258.28,3189.85,3257.91
1426,2011-02-22,3267.61,3269.05,3161.83,3163.58
1427,2011-02-23,3152.44,3182.19,3145.99,3174.74
1428,2011-02-24,3170.24,3195.69,3157.97,3190.94
1429,2011-02-25,3190.87,3213.79,3159.85,3197.62
1430,2011-02-28,3200.68,3241.6,3178.83,3239.56
1431,2011-03-01,3241.71,3273.51,3235.75,3254.89
1432,2011-03-02,3237.12,3257.42,3202.83,3243.3
1433,2011-03-03,3248.16,3271.64,3221.04,3221.72
1434,2011-03-04,3223.51,3273.66,3217.48,3270.67
1435,2011-03-07,3287.41,3337.47,3287.41,3334.51
1436,2011-03-08,3335.71,3342.71,3311.72,3337.46
1437,2011-03-09,3344.1,3355.49,3322.7,3338.86
1438,2011-03-10,3330.44,3330.44,3279.33,3280.26
1439,2011-03-11,3263.08,3290.7,3240.18,3247.38
1440,2011-03-14,3238.91,3263.91,3230.11,3262.92
1441,2011-03-15,3250.59,3250.59,3147.96,3203.96
1442,2011-03-16,3204.92,3250.88,3202.93,3248.2
1443,2011-03-17,3216.29,3240.38,3185.08,3197.1
1444,2011-03-18,3228.92,3239.96,3205.14,3215.69
1445,2011-03-21,3220.68,3236.28,3194.15,3207.11
1446,2011-03-22,3217.8,3227.8,3175.93,3222.96
1447,2011-03-23,3222.32,3267,3216.65,3264.93
1448,2011-03-24,3269.57,3273.37,3250.02,3251.36
1449,2011-03-25,3256.18,3304.26,3254.68,3294.48
1450,2011-03-28,3307.41,3328.07,3286.86,3290.57
1451,2011-03-29,3288.56,3309.2,3256.34,3257.98
1452,2011-03-30,3256.72,3274.98,3233.11,3256.08
1453,2011-03-31,3257.16,3264.96,3210.17,3223.29
1454,2011-04-01,3227.56,3272.77,3220.91,3272.73
1455,2011-04-06,3269.19,3315.3,3268.76,3311.07
1456,2011-04-07,3313.47,3330.8,3302.82,3324.42
1457,2011-04-08,3321.54,3353.89,3314.09,3353.36
1458,2011-04-11,3363.37,3380.53,3331.17,3333.43
1459,2011-04-12,3324.75,3350.16,3307.48,3326.77
1460,2011-04-13,3311.32,3372.03,3296.51,3372.03
1461,2011-04-14,3374.32,3378.7,3347.49,3353.56
1462,2011-04-15,3345.13,3378.11,3323.56,3358.94
1463,2011-04-18,3346.15,3372.9,3335.6,3359.44
1464,2011-04-19,3334.91,3334.91,3290.74,3295.81
1465,2011-04-20,3300.42,3311.73,3281.83,3295.76
1466,2011-04-21,3312.27,3330.24,3301.94,3317.37
1467,2011-04-22,3317.08,3325.46,3291.64,3299.94
1468,2011-04-25,3292.48,3292.48,3247.69,3249.57
1469,2011-04-26,3242.53,3257.8,3216.21,3230.96
1470,2011-04-27,3242.62,3256.41,3189.04,3209.5
1471,2011-04-28,3224.41,3237.19,3160.41,3161.78
1472,2011-04-29,3161.16,3193.6,3147.14,3192.72
1473,2011-05-03,3192.84,3212.05,3164.93,3211.13
1474,2011-05-04,3192.84,3193.45,3120.96,3129.03
1475,2011-05-05,3115,3136.9,3105.85,3126.12
1476,2011-05-06,3093.81,3141.68,3083.91,3121.4
1477,2011-05-09,3126.26,3149.94,3118.14,3129.76
1478,2011-05-10,3135.15,3153.3,3121.75,3153.22
1479,2011-05-11,3153.65,3164.65,3127.49,3145.08
1480,2011-05-12,3123.16,3142.4,3101.14,3101.6
1481,2011-05-13,3105.3,3128.44,3080.19,3128.09
1482,2011-05-16,3120.44,3137.6,3098.78,3100.46
1483,2011-05-17,3097.07,3136.23,3076.95,3116.03
1484,2011-05-18,3109.29,3145.7,3106.55,3139.38
1485,2011-05-19,3148.35,3154.94,3118.62,3120.64
1486,2011-05-20,3120.58,3133.43,3113.27,3121.6
1487,2011-05-23,3115.31,3115.31,3021.45,3022.98
1488,2011-05-24,3013.72,3029.75,2999.89,3026.22
1489,2011-05-25,3020.32,3030.99,2988.09,2990.34
1490,2011-05-26,3011.47,3021.2,2977.6,2978.38
1491,2011-05-27,2980.72,2996.6,2962.07,2963.31
1492,2011-05-30,2956.57,2982.58,2942.36,2954.51
1493,2011-05-31,2958.61,3001.73,2946.15,3001.56
1494,2011-06-01,2996.08,3006.56,2985.71,3004.17
1495,2011-06-02,2970.63,2984.49,2923.02,2955.71
1496,2011-06-03,2951.58,2993.9,2951.2,2986.35
1497,2011-06-07,2977.68,3006.57,2974.36,3004.26
1498,2011-06-08,3003.58,3012.81,2965.92,3008.65
1499,2011-06-09,3000.4,3004.06,2951.89,2951.89
1500,2011-06-10,2947.93,2964.08,2925.87,2961.93
1501,2011-06-13,2940.39,2957.52,2921.75,2950.35
1502,2011-06-14,2947.66,3000.53,2943.53,2993.56
1503,2011-06-15,2984.96,2999.15,2963.11,2963.12
1504,2011-06-16,2939.68,2946.81,2915.4,2917.58
1505,2011-06-17,2916.41,2934.06,2891.01,2892.16
1506,2011-06-20,2888.94,2896.08,2862.41,2874.9
1507,2011-06-21,2883.35,2909.57,2877.05,2909.07
1508,2011-06-22,2913.67,2921.03,2894.18,2908.58
1509,2011-06-23,2899.01,2966.54,2888.68,2957.63
1510,2011-06-24,2946.61,3047.94,2944.05,3027.47
1511,2011-06-27,3028.5,3056.02,3019.24,3036.49
1512,2011-06-28,3040.18,3046.8,3014,3041.73
1513,2011-06-29,3039.05,3043.81,2999.95,3000.17
1514,2011-06-30,3003.23,3058.62,3003.23,3044.09
1515,2011-07-01,3052.12,3071.21,3034.07,3049.75
1516,2011-07-04,3064.94,3124.58,3064.94,3121.98
1517,2011-07-05,3122.9,3128.53,3105.09,3122.5
1518,2011-07-06,3116.12,3116.12,3084.83,3113.71
1519,2011-07-07,3123.29,3140.1,3101.1,3101.68
1520,2011-07-08,3105.49,3124.39,3093.37,3109.18
1521,2011-07-11,3097.87,3121,3086.26,3113.21
1522,2011-07-12,3089.14,3090.1,3054.8,3056.91
